DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
2004-07-12,8035.0,12.1,16.2,1.35,3.1,8.2
2004-07-13,16243.0,9.6,18.1,1.22,2.1,1.2
2004-07-14,12960.0,9.7,20.4,1.48,3.8,3.5
2004-07-15,7085.0,15.7,19.6,1.86,3.0,0.3
2004-07-16,10454.0,13.9,22.5,1.91,2.5,1.0
2004-07-17,20736.0,12.1,28.9,1.848,2.2,15.1
2004-07-18,11750.0,14.9,22.2,1.91,1.9,2.8
2004-07-19,20477.0,12.9,21.6,1.57,2.4,0.0
2004-07-20,7258.0,11.3,21.1,1.73,1.5,3.1
2004-07-21,15725.0,11.0,25.0,1.93,1.2,0.2
2004-07-22,23846.0,16.7,26.1,1.82,1.3,2.0
2004-07-23,15725.0,11.8,24.6,2.0,1.9,13.1
2004-07-24,22118.0,9.3,23.3,1.42,1.4,0.0
2004-07-25,8035.0,13.1,17.6,1.52,2.5,1.6
2004-07-26,24106.0,9.5,20.6,1.42,1.9,5.9
2004-07-27,21859.0,7.1,22.2,1.3,1.2,0.0
2004-07-28,18403.0,9.3,23.4,1.43,1.3,0.0
2004-07-29,25661.0,10.9,26.6,1.39,2.4,0.0
2004-07-30,23846.0,11.6,28.3,1.53,1.3,0.0
2004-07-31,21514.0,12.7,26.0,1.65,1.2,0.0
2004-08-01,24192.0,12.6,24.4,1.72,1.4,0.0
2004-08-02,24365.0,12.0,26.8,1.56,1.5,0.0
2004-08-03,22810.0,13.6,28.0,1.62,1.9,0.0
2004-08-04,17971.0,16.1,29.1,1.75,1.4,0.0
2004-08-05,17021.0,16.6,30.7,1.77,1.8,0.0
2004-08-06,22205.0,17.4,30.5,1.86,2.0,0.0
2004-08-07,12355.0,17.9,25.2,2.15,1.6,0.0
2004-08-08,23242.0,17.3,31.3,1.72,3.0,0.0
2004-08-09,22723.0,21.3,32.5,1.47,3.9,0.0
2004-08-10,11837.0,18.8,28.9,1.68,3.5,2.0
2004-08-11,16934.0,18.1,26.0,1.91,1.8,0.7
2004-08-12,7949.0,16.5,24.0,1.98,2.5,8.0
2004-08-13,7085.0,15.4,21.1,1.8,4.0,30.8
2004-08-14,19008.0,15.0,24.5,1.85,1.9,1.7
2004-08-15,16330.0,12.6,24.6,1.79,1.6,0.1
2004-08-16,9418.0,15.8,22.6,1.98,2.0,4.6
2004-08-17,17712.0,14.9,24.0,1.83,2.3,1.6
2004-08-18,16330.0,17.9,26.6,1.92,3.7,7.3
2004-08-19,14602.0,15.9,23.0,1.67,5.3,0.0
2004-08-20,12701.0,13.0,21.5,1.6,3.5,1.7
2004-08-21,9158.0,9.9,18.7,1.39,1.8,1.3
2004-08-22,15120.0,10.5,20.7,1.3,1.8,0.0
2004-08-23,14342.0,12.8,23.2,1.51,2.6,0.2
2004-08-24,10541.0,14.5,21.2,1.73,3.2,4.7
2004-08-25,9504.0,14.0,19.7,1.63,3.8,4.2
2004-08-26,12614.0,12.8,19.3,1.56,3.4,5.8
2004-08-27,3629.0,13.8,16.5,1.65,4.5,7.5
2004-08-28,18144.0,8.8,20.5,1.41,1.5,0.0
2004-08-29,12614.0,9.9,20.0,1.41,2.6,0.0
2004-08-30,10627.0,12.2,18.3,1.45,4.3,10.1
2004-08-31,13133.0,9.7,18.0,1.38,3.3,4.3
2004-09-01,15379.0,8.6,21.9,1.28,1.1,0.0
2004-09-02,18317.0,8.0,23.4,1.27,2.0,0.0
2004-09-03,17194.0,9.2,25.1,1.54,1.0,0.0
2004-09-04,17366.0,12.8,26.5,1.74,1.4,0.0
2004-09-05,16848.0,12.5,27.8,1.67,1.3,0.0
2004-09-06,18749.0,10.7,26.3,1.55,2.2,0.0
2004-09-07,17194.0,12.4,24.8,1.62,2.6,0.0
2004-09-08,17798.0,7.9,22.4,1.36,2.1,0.0
2004-09-09,18576.0,9.9,23.2,1.1,3.3,0.0
2004-09-10,16330.0,11.8,26.1,1.35,3.1,4.8
2004-09-11,9158.0,16.1,21.9,1.8,3.3,0.1
2004-09-12,15898.0,12.7,18.7,1.22,5.7,0.6
2004-09-13,7430.0,11.9,20.4,1.38,4.6,6.7
2004-09-14,13046.0,10.8,19.3,1.26,5.5,0.2
2004-09-15,8813.0,8.3,16.4,1.32,3.3,5.2
2004-09-16,15034.0,6.1,17.6,1.13,1.8,0.0
2004-09-17,15379.0,9.0,19.9,1.09,2.5,0.0
2004-09-18,8381.0,12.3,22.0,1.41,2.8,0.7
2004-09-19,15206.0,9.4,18.7,1.28,3.0,1.3
2004-09-20,2506.0,11.3,15.2,1.38,5.8,5.2
2004-09-21,10195.0,9.3,16.7,1.14,5.8,0.6
2004-09-22,3283.0,10.0,14.3,1.28,4.3,24.3
2004-09-23,5530.0,9.9,15.3,1.33,3.7,4.8
2004-09-24,10022.0,7.8,15.0,1.22,2.9,2.6
2004-09-25,7344.0,10.4,14.7,1.18,3.4,2.4
2004-09-26,11059.0,9.4,18.1,1.38,2.4,0.0
2004-09-27,7949.0,11.9,18.6,1.5,2.8,0.5
2004-09-28,4493.0,13.5,18.2,1.62,3.9,5.8
2004-09-29,8381.0,6.1,15.8,1.27,2.3,0.6
2004-09-30,7258.0,6.5,15.6,1.19,1.9,2.4
2004-10-01,3715.0,12.0,17.2,1.53,2.2,1.8
2004-10-02,10541.0,10.7,16.5,1.28,3.5,0.2
2004-10-03,7603.0,9.6,16.9,1.32,3.0,0.0
2004-10-04,5962.0,13.2,19.2,1.49,3.4,0.2
2004-10-05,3715.0,11.6,16.0,1.49,2.7,0.0
2004-10-06,8381.0,9.8,16.6,1.22,4.2,0.4
2004-10-07,9331.0,6.6,15.7,1.09,3.4,0.0
2004-10-08,8035.0,3.2,15.8,1.04,0.9,0.0
2004-10-09,10368.0,1.3,14.9,0.89,1.8,0.0
2004-10-10,11318.0,5.7,13.3,0.84,3.9,0.0
2004-10-11,11664.0,6.1,12.7,0.77,5.7,0.0
2004-10-12,9072.0,5.1,12.9,0.78,4.7,0.0
2004-10-13,9245.0,6.6,16.6,1.14,3.5,0.0
2004-10-14,4925.0,10.1,14.5,1.17,4.2,0.8
